"1.1 At International level (medals won) – Individual Sports"
1.1,"NCOE Name","Team Type",Category,Displine,Level,"Form Type",Male-2018_19,"Female -2018_19","Male -2019_20","Female -2019_20","Male -2020_21","Female -2020_21","Male -2021_22","Female -2021_22","Male -2022_23","Female -2022_23"
1.4,"NCOE JAGATPUR",Individual,category-1,Rowing,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE I G Stadium",Individual,category-1,Gymnastics,International,participation,0,0,0,0,0,0,0,1,0,0
1.4,"NCOE Kolkata",Individual,category-1,Archery,International,participation,0,2,0,0,0,0,0,0,0,0
1.4,"NCOE Kolkata",Individual,category-1,Athletics,International,participation,0,1,0,0,0,0,0,0,0,0
1.4,"NCOE Kolkata",Individual,category-1,Gymnastics,International,participation,0,1,0,2,0,0,0,2,0,3
1.4,"NCOE Kolkata",Individual,category-1,"Table Tennis",International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Guwahati",Individual,category-1,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Guwahati",Individual,category-1,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Guwahati",Individual,category-1,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Guwahati",Individual,category-1,Boxing,International,participation,0,0,0,0,0,0,0,1,0,3
1.4,"NCOE Guwahati",Individual,category-1,Boxing,International,participation,0,0,0,0,0,0,0,1,0,3
1.4,"NCOE Guwahati",Individual,category-1,Cycling,International,participation,0,0,0,0,0,0,0,0,0,0
1.4,"NCOE Guwahati",Individual,category-1,Fencing,International,participation,0,0,0,0,0,0,0,0,1,1
"1.5 At International level (Participation) – Individual Sports"
1.5,"NCOE Name","Team Type",Category,Displine,Level,"Form Type",Male-2018_19,"Female -2018_19","Male -2019_20","Female -2019_20","Male -2020_21","Female -2020_21","Male -2021_22","Female -2021_22","Male -2022_23","Female -2022_23"
